Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin,,,
2020isde2,ISR District Event #2,qm,1,50,7067,4661,4320,3065,5987,3339,120,142,1553,1438,1492,1539,1624,1758,7.5%,0,-78.4,-22,,,
2020isde2,ISR District Event #2,qm,1,51,3075,5951,1690,6104,4319,4744,199,36,1550,1531,1861,1625,1445,1508,89.1%,1,65.5,163,,,
2020isde2,ISR District Event #2,qm,1,52,1657,4338,8340,6049,6168,8175,88,119,1615,1610,1422,1454,1470,1515,76.6%,0,37.0,-31,,,
2020isde2,ISR District Event #2,qm,1,53,6736,4416,3316,7177,2679,1954,62,54,1531,1433,1563,1539,1456,1389,69.4%,1,25.5,8,,,
2020isde2,ISR District Event #2,qm,1,54,2630,4319,4661,5614,7067,1690,100,123,1640,1419,1454,1598,1568,1887,4.3%,0,-96.8,-23,,,
2020isde2,ISR District Event #2,qm,1,55,3339,3835,8175,4320,4416,5654,93,50,1743,1533,1534,1507,1428,1558,86.0%,1,56.6,43,,,
2020isde2,ISR District Event #2,qm,1,56,6104,5987,2630,2679,3075,2231,170,123,1598,1609,1660,1461,1577,1666,72.0%,1,29.5,47,,,
2020isde2,ISR District Event #2,qm,1,57,8340,7177,6168,7039,3065,4744,120,180,1404,1543,1489,1611,1524,1481,26.1%,0,-32.3,-60,,,
2020isde2,ISR District Event #2,qm,1,58,3316,1657,5635,5951,4338,6736,93,120,1559,1596,1606,1557,1592,1526,62.1%,0,15.4,-27,,,
2020isde2,ISR District Event #2,qm,1,59,6049,1954,1690,3388,5614,6104,163,110,1473,1394,1867,1622,1578,1603,40.3%,1,-12.3,53,,,
2020isde2,ISR District Event #2,qf,1,1,3339,1690,6049,6736,3065,4744,224,96,1739,1885,1490,1537,1531,1489,96.1%,1,99.7,128,,,
2020isde2,ISR District Event #2,qf,1,2,3339,1690,6049,6736,3065,4744,169,104,1741,1887,1492,1536,1529,1487,96.3%,1,101.8,65,,,
2020isde2,ISR District Event #2,qf,2,1,2231,5635,1657,5614,7039,6104,136,174,1661,1594,1585,1560,1618,1586,60.8%,0,13.6,-38,,,
2020isde2,ISR District Event #2,qf,2,2,2231,5635,1657,5614,7039,6104,126,151,1658,1591,1582,1564,1622,1589,57.9%,0,9.9,-25,,,
2020isde2,ISR District Event #2,qf,3,1,3075,7067,3316,5951,7177,4661,111,145,1572,1548,1547,1569,1536,1473,62.6%,0,16.1,-34,,,
2020isde2,ISR District Event #2,qf,3,2,3075,7067,3316,5951,7177,4661,121,135,1569,1545,1544,1572,1539,1477,59.9%,0,12.5,-14,,,
2020isde2,ISR District Event #2,qf,4,1,2630,5987,6168,3388,8175,4338,96,161,1665,1614,1481,1604,1530,1603,53.3%,0,4.1,-65,,,
2020isde2,ISR District Event #2,qf,4,2,2630,5987,6168,3388,8175,4338,119,123,1660,1609,1477,1609,1535,1608,49.3%,0,-0.8,-4,,,
2020isde2,ISR District Event #2,sf,1,1,3339,1690,6049,5614,7039,6104,221,93,1739,1884,1490,1566,1624,1591,87.0%,1,59.2,128,,,
2020isde2,ISR District Event #2,sf,1,2,3339,1690,6049,5614,7039,6104,314,179,1743,1889,1494,1562,1620,1587,88.7%,1,64.2,135,,,
2020isde2,ISR District Event #2,sf,2,1,5951,7177,4661,3388,8175,4338,109,157,1574,1541,1478,1609,1535,1608,28.7%,0,-28.3,-48,,,
2020isde2,ISR District Event #2,sf,2,2,5951,7177,4661,3388,8175,4338,109,124,1573,1540,1477,1610,1536,1609,27.8%,0,-29.8,-15,,,
2020isde2,ISR District Event #2,f,1,1,3339,1690,5654,3388,8175,4338,225,168,1748,1894,1562,1609,1535,1608,93.1%,1,80.8,57,,,
2020isde2,ISR District Event #2,f,1,2,3339,1690,5654,3388,8175,4338,212,124,1746,1892,1560,1611,1537,1610,92.7%,1,79.1,88,,,
2020mxmo,Regional Monterrey,qm,1,1,4584,6676,4010,5716,2283,6605,25,29,1527,1424,1495,1526,1571,1400,42.7%,0,-9.2,-4,,,
2020mxmo,Regional Monterrey,qm,1,2,6666,6106,5887,3510,6702,6156,40,19,1442,1557,1492,1489,1485,1408,65.2%,1,19.6,21,,,
2020mxmo,Regional Monterrey,qm,1,3,7102,5133,3354,5344,3522,7740,45,11,1451,1413,1561,1467,1565,1474,38.3%,1,-14.8,34,,,
2020mxmo,Regional Monterrey,qm,1,4,5959,7421,3472,4731,6010,5696,39,43,1479,1467,1549,1455,1441,1515,62.0%,0,15.3,-4,,,
2020mxmo,Regional Monterrey,qm,1,5,4782,7546,7725,3933,5874,6965,47,81,1467,1452,1479,1609,1457,1414,38.4%,0,-14.8,-34,,,
2020mxmo,Regional Monterrey,qm,1,6,3478,6348,6017,3794,6652,7299,135,25,1752,1508,1480,1490,1484,1452,85.9%,1,56.2,110,,,
2020mxmo,Regional Monterrey,qm,1,7,8293,6832,4723,6170,5948,4635,35,66,1450,1432,1443,1508,1528,1652,11.0%,0,-65.0,-31,,,
2020mxmo,Regional Monterrey,qm,1,8,3158,6605,6676,5696,4775,6666,23,39,1578,1399,1425,1520,1594,1443,29.0%,0,-27.8,-16,,,
2020mxmo,Regional Monterrey,qm,1,9,5959,3794,6965,6017,6702,7102,52,70,1474,1475,1419,1494,1485,1464,39.5%,0,-13.3,-18,,,
2020mxmo,Regional Monterrey,qm,1,10,6010,5874,6170,2283,5344,6106,20,22,1446,1462,1499,1570,1454,1557,26.9%,0,-31.1,-2,,,
2020mxmo,Regional Monterrey,qm,1,11,8293,4775,7421,4723,6652,3354,47,74,1459,1591,1462,1452,1470,1574,52.3%,0,2.8,-27,,,
2020mxmo,Regional Monterrey,qm,1,12,6348,4635,7740,6156,3522,4010,57,84,1522,1643,1461,1407,1552,1497,72.7%,0,30.4,-27,,,
2020mxmo,Regional Monterrey,qm,1,13,3478,7299,3933,5133,5887,5716,115,21,1766,1437,1615,1426,1492,1525,89.7%,1,67.2,94,,,
2020mxmo,Regional Monterrey,qm,1,14,7725,4731,3510,3158,5948,7546,58,92,1474,1460,1488,1581,1519,1447,32.8%,0,-22.3,-34,,,
2020mxmo,Regional Monterrey,qm,1,15,4782,4775,3472,6156,6832,4584,135,72,1462,1583,1544,1423,1441,1528,75.6%,1,35.1,63,,,
2020mxmo,Regional Monterrey,qm,1,16,6666,3478,5874,3933,8293,5696,51,71,1440,1774,1470,1622,1451,1517,63.1%,0,16.8,-20,,,
2020mxmo,Regional Monterrey,qm,1,17,5344,5948,3510,6170,7299,6017,51,79,1446,1522,1485,1507,1445,1495,51.0%,0,1.2,-28,,,
2020mxmo,Regional Monterrey,qm,1,18,5716,6652,4635,3794,7102,4731,79,45,1518,1478,1628,1474,1465,1457,78.8%,1,40.8,34,,,
2020mxmo,Regional Monterrey,qm,1,19,5133,4782,6106,7421,4010,6702,20,85,1419,1469,1550,1454,1512,1486,47.9%,0,-2.6,-65,,,
2020mxmo,Regional Monterrey,qm,1,20,6348,3354,7725,4584,6605,5959,114,42,1507,1582,1471,1521,1402,1473,71.9%,1,29.3,72,,,
2020mxmo,Regional Monterrey,qm,1,21,5887,6965,3522,4723,3472,3158,102,76,1485,1418,1568,1460,1552,1584,32.8%,1,-22.4,26,,,
2020mxmo,Regional Monterrey,qm,1,22,6832,7740,7546,2283,6010,6676,36,39,1434,1446,1450,1562,1454,1428,34.1%,0,-20.5,-3,,,
